字,聲母,介音,韻腹,韻尾,聲調,注
井,tɕ,j,a,ŋ,3,白
井,tɕ,,i,n,3,文
亘,k,,ɛ,n,5,
亞,,,a,,5,
些,ɕ,j,ɛ,,1,
亡,,w,o,ŋ,2,
交,k,,a,u,1,
亥,h,,o,i,6,
亦,,,i,ʔ,7,
產,tsʰ,,a,n,3,
亨,h,,ɛ,n,1,
畝,m,,ɛ,u,3,
享,ɕ,j,o,ŋ,3,
京,tɕ,,i,n,1,
亭,tʰ,,i,n,2,
亮,t,j,o,ŋ,6,
親,tɕʰ,,i,n,1,
褻,ɕ,j,ɛ,t,7,
人,n,,i,n,2,白
人,l,,i,n,2,文
什,ɕ,,i,t,8,
仁,l,,i,n,2,
僅,tɕʰ,,i,n,6,
仆,pʰ,,u,ʔ,8,
仇,ɕ,j,u,,2,
今,tɕ,,i,n,1,
介,k,,a,i,5,
仍,,,i,n,2,
從,tɕʰ,j,u,ŋ,2,
從,tɕʰ,j,u,ŋ,6,
侖,t,,y,n,2,
倉,tsʰ,,o,ŋ,1,
仗,t,,o,ŋ,5,
付,f,,u,,5,
仙,ɕ,j,ɛ,n,1,
代,h,,a,i,6,白
代,tʰ,,a,i,6,文
令,t,,i,n,6,
以,,,i,,3,
儀,n,,i,,2,
仰,n,j,o,ŋ,3,
仲,tʰ,,u,ŋ,6,
件,tɕʰ,j,ɛ,n,6,
價,k,,a,,5,
任,n,,i,n,6,
份,f,,u,n,6,
仿,f,,o,ŋ,3,
企,tɕʰ,,i,,3,
伊,,,i,,1,
伍,ŋ,,,,3,
伏,f,,u,ʔ,8,
伐,f,,a,t,8,
休,ɕ,j,u,,1,
衆,t,,u,ŋ,5,
優,,j,u,,1,
伙,f,,o,,3,
會,,w,o,i,6,白
會,f,,i,,6,文
傘,s,,a,n,3,
偉,,w,i,,3,
傳,tʰ,,o,n,2,
傳,tʰ,,o,n,6,
傷,s,,o,ŋ,1,
倫,t,,y,n,2,
僞,,w,i,,6,
佇,t,,u,,5,
伯,p,,a,ʔ,7,白
伯,p,,ɛ,ʔ,7,文
估,k,,u,,3,
伴,pʰ,,o,n,6,
伶,t,j,a,ŋ,2,白
伶,t,,i,n,2,文
伸,ɕ,,i,n,1,
伺,s,,ɿ,,1,
似,s,,ɿ,,6,
佃,tʰ,j,ɛ,n,6,
但,tʰ,,a,n,6,
位,,w,i,,6,
低,t,,i,,1,
住,tʰ,,u,,6,
佐,ts,,o,,5,
體,tʰ,,i,,3,
何,h,,o,,2,
余,,,i,,2,
佛,f,,u,t,8,
作,ts,,o,ʔ,7,
佞,l,,i,n,6,
僉,ɕ,j,ɛ,n,1,
佩,pʰ,,i,,6,
佩,pʰ,,o,i,6,
佳,k,,a,,1,
使,s,,ɿ,,3,
侃,kʰ,,o,n,3,
侄,tʰ,,i,t,8,
侈,tʰ,,i,,3,
例,t,,i,,6,
侍,ɕ,,i,,6,
供,tɕ,j,u,ŋ,1,
供,tɕ,j,u,ŋ,5,
依,,,i,,1,
俠,ɕ,j,ɛ,t,8,
偵,t,,i,n,1,
側,ts,,ɛ,ʔ,7,
侮,,,u,,3,
侯,h,,ɛ,u,2,
侵,tɕʰ,,i,n,1,
便,pʰ,j,ɛ,n,6,
促,tɕʰ,j,u,ʔ,7,
俄,ŋ,,o,,2,
俊,tɕ,,y,n,5,
俏,tɕʰ,j,a,u,5,
俗,ɕ,j,u,ʔ,8,
俘,f,,u,,1,
保,p,,a,u,3,
俟,s,,ɿ,,6,
信,ɕ,,i,n,5,
儼,n,j,ɛ,n,3,
儉,tɕʰ,j,ɛ,n,6,
修,ɕ,j,u,,1,
俯,f,,u,,3,
俱,tɕ,,i,,1,
俸,f,,u,ŋ,5,
俾,p,,i,,3,
倍,pʰ,,i,,6,
倍,pʰ,,o,i,6,
倍,pʰ,w,i,,6,
倒,t,,a,u,3,
倒,t,,a,u,5,
倔,tɕʰ,,y,t,8,
倘,tʰ,,o,ŋ,3,
候,h,,ɛ,u,6,
借,tɕ,j,a,,5,
借,tɕʰ,j,a,,6,
倡,tʰ,,o,ŋ,1,
倡,tʰ,,o,ŋ,5,
倦,tɕʰ,ɥ,o,n,6,
倪,n,,i,,2,
倭,,w,o,,1,
債,ts,,a,i,5,
傾,tɕʰ,j,u,ŋ,1,
假,k,,a,,3,
偏,pʰ,j,ɛ,n,1,
做,ts,,ɿ,,5,
做,ts,,o,,5,
停,tʰ,,i,n,2,
偶,ŋ,,ɛ,u,3,
偷,h,,ɛ,u,1,白
偷,tʰ,,ɛ,u,1,文
償,s,,o,ŋ,2,
傀,kʰ,w,i,,3,
傅,f,,u,,5,
傍,pʰ,,o,ŋ,6,
儲,s,,u,,2,
催,tsʰ,w,o,i,1,
催,tsʰ,w,i,,1,
傲,ŋ,,a,u,6,
傻,s,,a,,3,
像,ɕ,j,o,ŋ,6,
僧,s,,ɛ,n,1,
僭,tɕ,j,ɛ,n,5,
僵,tɕ,j,o,ŋ,1,
僻,pʰ,,i,ʔ,7,
儁,tɕ,,y,n,5,
儒,,,ɛ,,2,
儡,l,w,i,,3,
兒,,,ɛ,,2,
允,,j,u,n,3,
元,n,ɥ,o,n,2,
兄,ɕ,j,a,ŋ,1,白
兄,ɕ,j,u,ŋ,1,文
充,tʰ,,u,ŋ,1,
兆,tʰ,,a,u,6,
兆,tʰ,,ɛ,u,6,
先,ɕ,j,ɛ,n,1,
光,k,w,o,ŋ,1,
克,kʰ,,ɛ,ʔ,7,
免,m,j,ɛ,n,3,
兌,tʰ,w,o,i,6,
兌,tʰ,w,i,,6,
兔,tʰ,,u,,5,
黨,t,,o,ŋ,3,
兜,t,,ɛ,u,1,
兢,tɕ,,i,n,1,
入,l,,u,t,7,新
全,tɕʰ,ɥ,o,n,2,
八,p,,a,t,7,
公,k,,u,ŋ,1,
六,t,j,u,ʔ,8,
兮,ɕ,,i,,2,
蘭,l,,a,n,2,
共,tɕʰ,j,u,ŋ,6,
關,k,w,a,n,1,
興,ɕ,,i,n,1,
興,ɕ,,i,n,5,
兵,p,,i,n,1,
其,tɕʰ,,i,,2,
具,tɕʰ,,i,,6,
典,t,j,ɛ,n,3,
茲,ts,,ɿ,,1,
養,,j,o,ŋ,3,
兼,tɕ,j,ɛ,n,1,
獸,ɕ,j,u,,5,
冀,tɕ,,i,,5,
內,l,w,o,i,6,
內,l,w,i,,6,
冉,l,,ɛ,n,3,
再,ts,,a,i,5,
冒,m,,a,u,6,
冗,l,,u,ŋ,3,
寫,ɕ,j,a,,3,
軍,tɕ,,y,n,1,
農,l,,u,ŋ,2,
冠,k,w,o,n,1,
冢,t,,u,ŋ,3,
冤,,ɥ,o,n,1,
