字,聲母,介音,韻腹,韻尾,聲調,注
屐,tɕʰ,,i,ʔ,8,
屑,ɕ,i,ɛ,t,7,
展,t,,ɛ,n,3,
屬,s,,u,ʔ,8,
屠,tʰ,,u,,2,
屢,t,,i,,5,
屣,ɕ,,i,,3,
履,t,,i,,3,
屯,tʰ,u,ə,n,2,
山,s,,a,n,1,
歲,s,u,i,,5,
豈,tɕʰ,,i,,3,
岐,tɕʰ,,i,,2,
岑,tɕʰ,i,ɛ,m,2,
島,t,,a,u,3,
岭,t,i,a,ŋ,3,白
岭,t,,i,n,3,
岳,ŋ,,o,ʔ,7,
岸,ŋ,,o,n,6,
峙,tʰ,,i,,6,
峯,f,,u,ŋ,1,
崇,tsʰ,,u,ŋ,2,
崔,tsʰ,u,o,i,1,
崔,tsʰ,u,i,,1,
崖,ŋ,,a,i,2,
崩,p,,ɛ,n,1,
嵌,kʰ,,a,m,5,
嵩,ɕ,i,u,ŋ,1,
巍,,u,i,,2,
川,tʰ,,o,n,1,
州,t,i,u,,1,
巡,ɕ,,y,n,2,
巢,tsʰ,,a,u,2,
工,k,,u,ŋ,1,
左,ts,,o,,3,
巧,kʰ,,a,u,3,
巨,tɕʰ,,i,,6,
巫,,,u,,2,
差,tsʰ,,a,,1,
差,tsʰ,,a,i,1,
己,tɕ,,i,,3,
已,,,i,,3,
巳,tsʰ,,ɿ,,6,
巴,p,,a,,1,
巷,h,,o,ŋ,6,
巾,tɕ,,i,n,1,
幣,pʰ,,i,,6,
市,ɕ,,i,,6,
布,p,,u,,5,
帥,s,,u,t,7,
帆,f,,a,n,2,
師,s,,ɿ,,1,
希,ɕ,,i,,1,
帳,t,,o,ŋ,5,
帖,tʰ,i,ɛ,p,7,
帘,t,i,ɛ,m,2,
帚,t,i,u,,3,
帛,pʰ,,ɛ,ʔ,8,
帶,t,,a,i,5,
席,tɕʰ,i,a,ʔ,8,白
席,ɕ,,i,ʔ,8,
幫,p,,o,ŋ,1,
帷,,u,i,,2,
常,s,,o,ŋ,2,
帽,m,,a,u,6,
幅,f,,u,ʔ,7,
幔,m,,o,n,6,
幕,m,,o,ʔ,7,
干,k,,o,n,1,
干,k,,o,n,5,
平,pʰ,,ə,n,2,白
平,pʰ,,i,n,2,
年,n,i,ɛ,n,2,
并,p,,ə,n,5,白
并,p,,i,n,5,
并,pʰ,,i,n,6,
幸,h,,ɛ,n,6,
幺,,i,a,u,1,
幻,f,,a,n,6,
幼,,i,u,,5,
幽,,i,u,,1,
廣,k,u,o,ŋ,3,
莊,ts,,o,ŋ,1,
慶,tɕʰ,,i,n,5,
庇,p,,i,,5,
牀,s,,o,ŋ,2,白
序,ɕ,,i,,6,
廬,l,,u,,2,
庫,kʰ,,u,,5,
應,,,i,n,1,
應,,,i,n,5,
底,t,,i,,3,
店,t,i,ɛ,m,5,
廟,m,i,a,u,6,
庚,k,,a,ŋ,1,白
庚,k,,ɛ,n,1,
府,f,,u,,3,
龐,pʰ,,o,ŋ,2,
廢,f,,ə,i,5,
度,tʰ,,u,,6,
度,t,,o,ʔ,8,
座,tsʰ,,o,,6,
庭,tʰ,,i,n,2,
庵,,,o,m,1,
庶,s,,u,,5,
康,kʰ,,o,ŋ,1,
庸,,i,u,ŋ,2,
廉,t,i,ɛ,m,2,
廊,l,,o,ŋ,2,
廓,k,u,o,ʔ,7,
廖,t,i,a,u,6,
延,,i,ɛ,n,2,
廷,tʰ,,i,n,2,
建,tɕ,i,ɛ,n,5,
開,kʰ,,o,i,1,
异,,,i,,6,
弃,tɕʰ,,i,,5,
弄,l,,u,ŋ,6,
弊,pʰ,,i,,6,
弋,,,i,ʔ,8,白
弋,,,i,ʔ,7,
式,ɕ,,i,ʔ,7,
弓,tɕ,i,u,ŋ,1,
引,,,i,n,3,
弗,f,,u,t,7,
弘,f,,ɛ,n,2,
弟,tʰ,,i,,6,
張,t,,o,ŋ,1,
弥,m,,i,,2,
弦,ɕ,y,o,n,2,
弭,m,,i,,2,
彎,,u,a,n,1,
弱,l,,o,ʔ,7,
弱,n,i,o,ʔ,7,
彈,tʰ,,a,n,2,
彈,tʰ,,a,n,6,
强,tɕʰ,i,o,ŋ,2,
强,tɕʰ,i,o,ŋ,3,
弼,pʰ,,i,t,7,
彀,k,,ɛ,u,5,
歸,k,u,i,,1,
當,t,,o,ŋ,1,
當,t,,o,ŋ,5,
录,t,i,u,ʔ,7,
彗,f,,ə,i,6,
形,ɕ,,i,n,2,
彩,tsʰ,,a,i,3,
彬,p,,i,n,1,
彭,pʰ,,a,ŋ,2,白
彭,pʰ,,ɛ,n,2,
影,,i,a,ŋ,3,白
影,,,i,n,3,
役,,,y,t,7,
徹,tʰ,,ɛ,t,8,
彼,p,,i,,3,
征,t,,i,n,1,
徂,tsʰ,,u,,2,
徑,tɕ,,i,n,5,
待,tʰ,,a,i,6,
很,h,,ɛ,n,3,
律,t,,y,t,7,
徐,tsʰ,,ɛ,,2,白
徐,ɕ,,i,,2,
徒,tʰ,,u,,2,
得,t,,ɛ,ʔ,7,
徙,ɕ,,i,,3,
御,n,,i,,3,
御,n,,i,,6,
循,ɕ,,y,n,2,
微,,u,i,,2,
徵,t,,i,,3,
德,t,,ɛ,ʔ,7,
徽,f,,ə,i,1,
心,ɕ,,i,m,1,
必,p,,i,t,7,
忌,tɕʰ,,i,,6,
忍,n,,i,n,3,白
忍,l,,i,n,3,
忏,tsʰ,,a,m,5,
忒,tʰ,,ɛ,ʔ,7,
忖,tsʰ,u,ə,n,3,
志,t,,i,,5,
忘,,u,o,ŋ,2,
忝,tʰ,i,ɛ,m,3,
忠,t,,u,ŋ,1,
憂,,i,u,,1,
快,kʰ,u,a,i,5,
念,n,i,ɛ,m,6,
忽,f,,u,t,7,
忾,kʰ,,o,i,5,
懷,f,,a,i,2,
態,h,,a,i,6,白
態,tʰ,,a,i,1,
慫,s,,u,ŋ,3,
慪,,,ɛ,u,5,
悵,t,,o,ŋ,5,
怏,,i,o,ŋ,1,
怒,l,,u,,6,
怕,pʰ,,a,,5,
怖,p,,u,,5,
憐,t,i,ɛ,n,2,
思,s,,ɿ,,1,
怠,tʰ,,a,i,6,
怡,,,i,,2,
急,tɕ,,i,p,7,
性,ɕ,i,a,ŋ,5,白
性,ɕ,,i,n,5,
怨,,y,o,n,5,
怪,k,u,a,i,5,
怯,tɕʰ,i,ɛ,p,7,
總,ts,,u,ŋ,3,
恃,ɕ,,i,,6,
戀,t,y,o,n,6,
恍,f,,o,ŋ,3,
恐,tɕʰ,i,u,ŋ,3,
恆,h,,ɛ,n,2,
恕,s,,u,,5,
恙,,i,o,ŋ,6,
恢,f,,o,i,1,
恢,f,,ə,i,1,
恤,ɕ,,y,t,7,
恩,,,ɛ,n,1,
恭,tɕ,i,u,ŋ,1,
息,ɕ,,i,ʔ,7,
恰,kʰ,,a,p,7,
懇,kʰ,,ɛ,n,3,
恶,,,u,,5,
恶,,,o,ʔ,7,
惻,tsʰ,,ɛ,ʔ,7,
惱,l,,a,u,3,
悄,tɕʰ,i,a,u,3,
悉,s,,u,t,7,白
悉,ɕ,,i,t,7,
悌,tʰ,,i,,6,
悔,f,,ə,i,5,
悟,ŋ,,u,,6,
悠,,i,u,,2,
患,f,,a,n,6,
悅,,y,o,t,7,
懸,ɕ,y,o,n,2,
憫,m,,i,n,3,
悲,p,,i,,1,
悴,tɕʰ,,i,,6,
情,tɕʰ,i,a,ŋ,2,白
情,tɕʰ,,i,n,2,
驚,tɕ,,i,n,1,
惑,f,,ɛ,ʔ,8,
惜,ɕ,,i,ʔ,7,
惟,,u,i,,2,
惠,f,,ə,i,6,
懼,tɕʰ,,i,,6,
慘,tsʰ,,a,m,3,
懲,tʰ,,i,n,2,
慚,tsʰ,,a,m,2,
憚,tʰ,,a,n,6,
慣,k,u,a,n,5,
惰,tʰ,,o,,6,
想,ɕ,i,o,ŋ,3,
惹,n,i,a,,3,白
惹,n,i,ɛ,,3,
愁,tsʰ,,ɛ,u,2,
愈,,,i,,3,
愎,p,,i,ʔ,7,
意,,,i,,5,
愚,n,,i,,2,
感,k,,o,m,3,
憤,f,,ə,n,3,
愧,kʰ,u,i,,5,
愬,s,,u,,5,
願,n,y,o,n,6,
慈,tsʰ,,ɿ,,2,
慌,f,,o,ŋ,1,
慎,ɕ,,i,n,6,
慕,m,,u,,6,
慢,m,,a,n,6,
慨,kʰ,,o,i,5,
慰,,u,i,,5,
慷,kʰ,,o,ŋ,3,
憎,ts,,ɛ,n,1,
憾,h,,o,m,5,
懂,t,,u,ŋ,3,
懈,h,,a,i,6,
懶,l,,a,n,3,
懿,,,i,,5,
戈,k,u,o,,1,
戊,,,u,,6,
戍,s,,u,,5,
戍,ɕ,,y,t,7,
戎,l,,u,ŋ,2,
戲,ɕ,,i,,5,
成,s,,a,ŋ,2,白
成,ɕ,,i,n,2,
我,ŋ,,o,,3,
戒,k,,a,i,5,
戕,tɕʰ,i,o,ŋ,2,
或,f,,ɛ,ʔ,8,
戰,t,,ɛ,n,5,
戚,tɕʰ,,i,ʔ,8,
戟,tɕ,,i,ʔ,7,
截,tɕʰ,i,ɛ,t,8,
戮,t,i,u,ʔ,7,
戴,t,,a,i,5,
戶,f,,u,,6,
房,f,,o,ŋ,2,
所,s,,u,,3,
扁,p,i,ɛ,n,3,
扃,tɕ,i,u,ŋ,3,
扇,s,,ɛ,n,1,
扇,s,,ɛ,n,5,
手,ɕ,i,u,,3,
才,tsʰ,,a,i,2,
扎,ts,,a,t,7,
扑,pʰ,,u,ʔ,8,
托,tʰ,,o,ʔ,7,
扛,k,,o,ŋ,1,
扣,kʰ,,ɛ,u,5,
執,t,,i,p,7,
擴,kʰ,u,o,ʔ,7,
掃,s,,a,u,3,
揚,,i,o,ŋ,2,
扭,n,i,u,,3,
扮,p,,a,n,5,白
扯,tʰ,,a,,3,
擾,l,,a,u,3,
擾,l,,ɛ,u,3,
扳,p,,a,n,1,
扶,f,,u,,2,
批,pʰ,,i,,1,
扼,,,ɛ,ʔ,7,
承,ɕ,,i,n,2,
技,tɕʰ,,i,,6,
抄,tsʰ,,a,u,1,
把,p,,a,,3,
抑,n,,i,ʔ,7,
投,h,,ɛ,u,2,白
投,tʰ,,ɛ,u,2,
抖,t,,ɛ,u,3,
抗,kʰ,,o,ŋ,5,
折,t,,ɛ,t,7,
撫,f,,u,,3,
摳,kʰ,,ɛ,u,2,
搶,tɕʰ,i,o,ŋ,3,
護,f,,u,,6,
報,p,,a,u,5,
披,pʰ,,i,,1,
抱,pʰ,,a,u,6,
抵,t,,i,,3,
抹,m,,o,t,8,
押,,,a,p,7,
抽,tʰ,i,u,,1,
拂,f,,u,t,7,
擔,t,,a,m,1,
擔,t,,a,m,5,
拇,m,,u,,3,
拉,l,,a,,1,
拍,pʰ,,a,ʔ,7,白
拍,pʰ,,ɛ,ʔ,7,
拐,k,u,a,i,3,
拒,tɕʰ,,i,,6,
拔,pʰ,,a,t,8,
拖,tʰ,,o,,1,
拗,,,a,u,5,
拘,tɕ,,i,,1,
拙,t,u,o,t,7,
招,t,,ɛ,u,1,
招,t,,a,u,5,
拜,p,,a,i,5,
擬,n,,i,,3,
攏,l,,u,ŋ,3,
揀,k,,a,n,3,
擁,,i,u,ŋ,5,
撥,p,,o,t,8,白
撥,p,,o,t,7,
擇,tsʰ,,ɛ,ʔ,8,
括,k,u,o,t,7,
拯,tʰ,,i,n,3,
拱,tɕ,i,u,ŋ,3,
拳,tɕʰ,y,o,n,2,
拼,pʰ,,o,n,1,
拾,ɕ,,i,p,8,
拿,l,,a,,2,
持,tʰ,,i,,2,
挂,k,u,a,,5,
指,t,,i,,3,
按,,,o,n,5,
挑,tʰ,i,a,u,1,
挖,,u,a,t,7,
挾,ɕ,i,ɛ,p,8,
擠,tɕ,,i,,3,
揮,f,,ə,i,1,
挨,,,a,i,1,
挪,l,,a,,2,
振,t,,i,n,5,
挺,tʰ,,i,n,3,
挽,,u,a,n,3,
捆,kʰ,u,ə,n,3,
捉,ts,,o,ʔ,7,
捋,l,u,o,t,8,
捏,n,i,ɛ,t,7,
捕,pʰ,,u,,1,
撈,l,,a,u,5,
損,ɕ,,y,n,3,
換,f,,o,n,6,
捧,p,,u,ŋ,3,
据,tɕ,,i,,5,
捷,tɕʰ,i,ɛ,p,8,白
捺,l,,a,t,7,
捻,n,i,ɛ,p,7,
掀,ɕ,i,ɛ,n,1,
掇,t,u,o,t,7,
授,ɕ,i,u,,6,
掉,tʰ,i,a,u,3,白
掉,tʰ,i,a,u,6,
掌,t,,o,ŋ,3,
掏,tʰ,,a,u,2,
掐,kʰ,,a,p,7,
排,pʰ,,a,i,2,
掘,tɕʰ,y,o,t,7,白
掘,tɕʰ,,y,t,8,
掠,t,i,o,ʔ,8,
探,tʰ,,a,m,5,
接,tɕ,i,ɛ,p,7,
控,kʰ,,u,ŋ,5,
推,tʰ,u,i,,1,
掩,,i,ɛ,m,3,
措,tsʰ,,u,,5,
擲,tʰ,i,a,ʔ,7,白
擲,tʰ,,i,ʔ,7,
揆,kʰ,u,i,,2,
揉,l,i,u,,2,
描,m,i,a,u,2,
提,tʰ,,i,,2,
插,tsʰ,,a,p,7,
揖,,,i,p,7,
握,,,o,ʔ,7,
揣,tsʰ,u,i,,3,
揩,kʰ,,a,i,1,
揪,tɕ,i,u,,1,
揭,tɕʰ,i,ɛ,t,7,
援,,y,o,n,2,
攬,l,,o,m,3,
攙,tsʰ,,a,m,2,
擱,k,,o,ʔ,7,
摟,l,,ɛ,u,5,白
攪,k,,a,u,3,
搓,tsʰ,,o,,5,
搜,s,,ɛ,u,1,
搬,p,,o,n,1,
搭,t,,a,p,7,
攝,s,,ɛ,p,7,
摆,p,,a,i,3,
摇,,i,a,u,2,
攤,h,,a,n,1,白
攤,tʰ,,a,n,1,
摘,ts,,a,ʔ,7,
摩,m,,o,,2,
撇,pʰ,i,ɛ,t,7,
撑,tsʰ,,a,ŋ,1,白
撒,s,,a,t,7,
撕,s,,ɿ,,1,
撚,l,,ɛ,n,2,
撞,tsʰ,,o,ŋ,6,
撤,tʰ,,ɛ,t,8,
撩,t,i,a,u,2,
播,p,,o,,5,
撮,ts,,o,p,7,
撰,tsʰ,,o,n,6,
撼,,,o,m,3,
擅,s,,ɛ,n,6,
操,tsʰ,,a,u,1,
擎,tɕ,,i,n,5,
擒,tɕʰ,,i,m,2,
攀,pʰ,,a,n,1,
支,t,,i,,1,
收,ɕ,i,u,,1,
改,k,,o,i,3,
攻,k,,u,ŋ,1,
放,f,,o,ŋ,5,
政,t,,i,n,5,
故,k,,u,,5,
效,h,,a,u,6,
敵,tʰ,,i,ʔ,8,
敏,m,,i,n,3,
救,k,,ɛ,u,5,白
救,tɕ,i,u,,5,
敕,tʰ,,i,ʔ,7,
教,k,,a,u,5,
斂,t,i,ɛ,m,6,
敢,k,,o,m,3,
散,s,,a,n,3,
散,s,,a,n,5,
敦,t,u,ə,n,1,
敬,tɕ,,i,n,5,
數,s,,u,,3,
數,s,,u,,5,
敲,kʰ,,a,u,1,
整,t,,i,n,3,
敷,f,,u,,1,
文,,u,ə,n,2,
斋,ts,,a,i,1,
斗,t,,ɛ,u,3,
斗,t,,ɛ,u,5,
料,t,i,a,u,6,
斜,tɕʰ,i,a,,2,
斟,t,,i,m,1,
斡,,u,o,t,7,
斤,tɕ,,i,n,1,
斥,tʰ,,i,ʔ,7,
斧,f,,u,,3,
斬,ts,,a,m,3,
斷,h,,o,n,5,白
斷,tʰ,,o,n,6,
新,ɕ,,i,n,1,
方,f,,o,ŋ,1,
施,ɕ,,i,,1,
旁,pʰ,,o,ŋ,2,
旃,t,,ɛ,n,1,
旅,t,,i,,3,
旋,ɕ,y,o,n,2,
旌,tɕ,,i,n,1,
族,tsʰ,,u,ʔ,8,
旗,tɕʰ,,i,,2,
無,,,u,,2,
既,tɕ,,i,,5,
日,n,,i,t,8,白
日,l,,i,t,7,
旦,t,,a,n,5,
舊,tɕʰ,i,u,,6,
旨,t,,i,,3,
早,ts,,a,u,3,
旬,ɕ,,y,n,2,
旭,ɕ,i,u,ʔ,7,
旱,h,,o,n,6,
時,ɕ,,i,,2,
曠,kʰ,u,o,ŋ,5,
旺,,u,o,ŋ,6,
昂,ŋ,,o,ŋ,2,
昆,kʰ,u,ə,n,1,
昊,h,,a,u,6,
昌,tʰ,,o,ŋ,1,
明,m,,ə,n,2,白
明,m,i,a,ŋ,2,白
明,m,,i,n,2,
昏,f,,ə,n,1,
易,,,i,,6,
易,,,i,ʔ,7,
昔,ɕ,,i,ʔ,7,
星,ɕ,i,a,ŋ,1,白
星,ɕ,,i,n,1,
映,,i,a,ŋ,5,白
映,,,i,n,5,
春,tʰ,u,ə,n,1,
昧,m,,i,,6,
昧,m,,o,i,6,
昨,tsʰ,,o,ʔ,8,
昭,t,,ɛ,u,1,
昭,t,,a,u,5,
是,ɕ,,i,,6,
晝,t,i,u,,5,
顯,ɕ,i,ɛ,n,3,
晉,tɕ,,y,n,5,
晏,,,a,n,5,
曬,s,,a,,5,
曉,ɕ,i,a,u,3,
晚,,u,a,n,3,
晦,f,,ə,i,5,
晨,ɕ,,i,n,2,
普,pʰ,,u,,3,
景,tɕ,,i,n,3,
晴,tɕʰ,i,a,ŋ,2,白
晴,tɕʰ,,i,n,2,
晶,tɕ,,i,n,1,
晷,k,u,i,,3,
智,t,,i,,5,
暫,tsʰ,,a,m,6,
暇,h,,a,,6,
暑,s,,u,,3,
暖,l,,o,n,3,
暗,,,o,m,5,
暮,m,,u,,6,
暴,pʰ,,a,u,6,
暹,ɕ,i,ɛ,n,1,
曝,p,,u,ʔ,7,
曩,l,,o,ŋ,3,
曰,,y,o,t,7,
曲,tɕʰ,i,u,ʔ,7,
更,k,,a,ŋ,1,白
更,k,,ɛ,n,1,
更,k,,ɛ,n,5,
曷,h,,o,t,8,
曹,tsʰ,,a,u,2,
曾,ts,,ɛ,n,1,
曾,tsʰ,,ɛ,n,2,
替,tʰ,,i,,5,
最,ts,u,i,,5,
月,ɕ,y,o,t,8,白
月,ɕ,y,o,t,7,
有,,i,u,,3,
朋,pʰ,,ɛ,n,2,
服,f,,u,ʔ,8,
朔,s,,o,ʔ,7,
朕,tʰ,,i,m,6,
朗,l,,o,ŋ,3,
望,,u,o,ŋ,6,
朝,t,,a,u,1,
朝,t,,ɛ,u,1,
朝,tʰ,,a,u,2,
朝,tʰ,,ɛ,u,2,
期,tɕʰ,,i,,2,
木,m,,u,ʔ,7,
未,,u,i,,6,
末,m,,o,t,8,白
末,m,,o,t,7,
本,p,,ə,n,3,
札,ts,,a,t,7,
术,s,,u,t,8,
朱,t,,u,,1,
朵,t,,o,,3,
機,tɕ,,i,,1,
朽,ɕ,i,u,,3,
殺,s,,a,t,7,
雜,tsʰ,,a,p,8,
權,tɕʰ,y,o,n,2,
杉,s,,a,m,1,
李,t,,i,,3,
杏,h,,ɛ,n,6,
村,tsʰ,u,ə,n,1,
杖,tʰ,,o,ŋ,6,
杜,tʰ,,u,,6,
杞,tɕʰ,,i,,3,
束,s,,u,ʔ,7,
條,tʰ,i,a,u,2,
來,l,,a,i,2,
楊,,i,o,ŋ,2,
杯,p,,i,,1,
杯,p,,o,i,1,
杰,tɕʰ,i,ɛ,t,8,
杳,m,i,a,u,3,
松,s,,u,ŋ,1,
松,ɕ,i,u,ŋ,1,
板,p,,a,n,3,
極,tɕʰ,,i,ʔ,8,
構,k,,ɛ,u,5,
枉,,u,o,ŋ,3,
析,ɕ,,i,ʔ,7,
枕,t,,i,m,3,
林,t,,i,m,2,
枚,m,,i,,2,
枚,m,,o,i,2,
果,k,u,o,,3,
枝,t,,i,,1,
樞,tʰ,,u,,1,
棗,ts,,a,u,3,
槍,tɕʰ,i,o,ŋ,1,
枯,kʰ,,u,,1,
枵,ɕ,i,a,u,1,
架,k,,a,,5,
柁,h,,o,,6,白
柁,tʰ,,o,,6,
柄,p,i,a,ŋ,5,白
柄,p,,i,n,3,
柏,p,,a,ʔ,7,白
柏,p,,ɛ,ʔ,7,
某,m,,ɛ,u,3,
柑,k,,o,m,1,
染,n,i,ɛ,m,3,
染,l,,ɛ,m,3,
柔,l,i,u,,2,
柚,,i,u,,6,
櫃,kʰ,u,i,,6,
查,tsʰ,,a,,2,
柩,tɕʰ,i,u,,6,
柬,k,,a,n,3,
柱,tʰ,,u,,1,白
柱,tʰ,,u,,6,
柳,t,i,u,,3,
柴,tsʰ,,a,i,2,
柴,s,,a,i,2,
栅,tsʰ,,a,ʔ,7,白
栅,s,,a,ʔ,7,
栅,tsʰ,,ɛ,ʔ,7,
栅,s,,a,t,8,
標,p,i,a,u,1,
棧,tsʰ,,a,m,6,
櫛,ts,,ɛ,t,7,
棟,t,,u,ŋ,5,
樹,s,,u,,6,
栖,tɕʰ,,i,,1,
栗,t,,i,p,7,白
栗,t,,i,t,8,
校,k,,a,u,5,
校,h,,a,u,6,
株,t,,u,,1,
樣,,i,o,ŋ,6,
核,h,,ɛ,ʔ,8,
根,k,,ɛ,n,1,
格,k,,a,ʔ,7,白
格,k,,ɛ,ʔ,7,
栽,ts,,a,i,1,
桂,k,u,i,,5,
桃,tʰ,,a,u,2,
桅,,u,i,,2,
案,,,o,n,5,
桌,ts,,o,ʔ,7,
桐,tʰ,,u,ŋ,2,
桑,s,,o,ŋ,1,
桓,f,,o,n,2,
橋,tɕʰ,i,a,u,2,
樁,ts,,o,ŋ,1,
桶,tʰ,,u,ŋ,3,
梁,t,i,o,ŋ,2,
梅,m,,i,,2,
梅,m,,o,i,2,
梅,m,u,i,,2,
梓,ts,,ɿ,,3,
梢,s,,a,u,1,
夢,m,,u,ŋ,6,
梧,ŋ,,u,,2,
梨,t,,i,,2,
梭,s,,o,,1,
梯,tʰ,,i,,5,
械,h,,a,i,3,
梳,s,,u,,1,
梳,s,,u,,5,
梵,f,,a,n,2,
檢,tɕ,i,ɛ,m,3,
棉,m,i,ɛ,n,2,
棋,tɕʰ,,i,,2,
棒,pʰ,,o,ŋ,6,白
棒,p,,o,ŋ,5,
棘,tɕ,,i,ʔ,7,
棚,pʰ,,a,ŋ,2,白
棚,pʰ,,u,ŋ,2,
森,s,,ɛ,m,1,
椅,,,i,,3,
植,tʰ,,i,ʔ,8,
椒,tɕ,i,a,u,1,
椰,,i,a,,2,
椶,ts,,u,ŋ,1,
椽,tʰ,,o,n,2,
椿,tʰ,u,ə,n,1,
楚,tsʰ,,u,,3,
楞,l,,ɛ,n,2,
楦,ɕ,y,o,n,1,
楷,kʰ,,a,i,3,
樓,l,,ɛ,u,2,
概,kʰ,,o,i,5,
欖,l,,a,m,3,
榆,,,i,,2,
榖,k,,u,ʔ,7,
榛,ts,,ɛ,n,1,
榜,p,,o,ŋ,3,
榨,ts,,a,,5,
槌,tʰ,u,i,,2,
槐,f,,a,i,2,
檳,p,,i,n,1,
槽,ts,,a,u,1,
樊,f,,a,n,2,
模,m,,u,,2,
橫,,u,a,ŋ,2,白
橫,h,,ɛ,n,2,
樵,tɕʰ,i,a,u,2,
橄,kʰ,,a,m,3,
橘,tɕ,,y,t,7,
橙,tsʰ,,a,ŋ,2,白
橙,tʰ,,i,n,2,
櫓,l,,u,,3,
檀,tʰ,,a,n,2,
檐,,i,ɛ,m,2,
欠,tɕʰ,i,ɛ,m,5,
次,tsʰ,,ɿ,,5,
歡,f,,o,n,1,
欣,ɕ,,i,n,1,
歐,,,ɛ,u,1,
欲,,i,u,ʔ,7,
欺,tɕʰ,,i,,1,
款,kʰ,u,o,n,3,
歇,ɕ,i,ɛ,t,7,
歌,k,,o,,1,
止,t,,i,,3,
正,t,,a,ŋ,1,白
正,t,,a,ŋ,5,白
正,t,,i,n,1,
正,t,,i,n,5,
此,tsʰ,,ɿ,,3,
步,pʰ,,u,,6,
武,,,u,,3,
歪,,u,a,i,1,
死,s,,ɿ,,3,
殃,,i,o,ŋ,1,
殆,tʰ,,a,i,6,
殉,ɕ,,y,n,6,
殊,s,,u,,2,
殘,tsʰ,,a,n,2,
殮,t,i,ɛ,m,6,
殖,tʰ,,i,ʔ,8,
殯,p,,i,n,5,
毆,,,ɛ,u,3,
段,tʰ,,o,n,6,
殷,,,i,n,1,
殿,tʰ,i,ɛ,n,6,
毁,f,,ə,i,3,
毅,n,,i,,6,
母,m,,u,,3,
每,m,,i,,3,
每,m,,o,i,3,
毒,tʰ,,u,ʔ,8,
比,p,,i,,3,
畢,p,,i,t,7,
斃,pʰ,,i,,6,
毛,m,,a,u,2,
毫,h,,a,u,2,
毯,tʰ,,a,n,3,
氏,ɕ,,i,,6,
民,m,,i,n,2,
气,tɕʰ,,i,,5,
水,s,u,i,,3,
永,,i,u,ŋ,3,
汀,t,,i,n,1,
汁,t,,i,p,7,
求,tɕʰ,i,u,,2,
汇,f,,ə,i,6,
漢,h,,o,n,5,
汗,h,,o,n,6,
汝,,,ɛ,,3,
汞,k,,u,ŋ,5,
江,k,,o,ŋ,1,
池,tʰ,,i,,2,
污,,,u,,1,
湯,tʰ,,o,ŋ,1,
汪,,u,o,ŋ,1,
汲,tɕ,,i,p,7,
汴,pʰ,i,ɛ,n,6,
沂,tɕʰ,,i,,2,
沃,,,u,ʔ,7,
沈,ɕ,,i,m,3,
沉,tʰ,,i,m,2,
沐,m,,u,ʔ,7,
沙,s,,a,,1,
溝,k,,ɛ,u,1,
没,m,,u,t,7,
淪,t,,y,n,2,
滬,f,,u,,6,
沫,m,,o,t,8,
河,h,,o,,2,
油,,i,u,,2,
治,tʰ,,i,,6,
沼,t,,a,u,3,
沼,t,,ɛ,u,3,
沿,,y,o,n,2,
泄,ɕ,i,ɛ,t,7,
泉,tɕʰ,y,o,n,2,
泊,pʰ,,o,ʔ,7,
泌,p,,i,,5,
法,f,,a,t,7,
泛,f,,a,n,5,
泡,pʰ,,a,u,3,白
泡,pʰ,,a,u,5,
波,p,,o,,1,
泣,tɕʰ,,i,p,7,
泣,tɕʰ,,i,t,7,
注,t,,u,,5,
淚,t,,i,,6,
泯,m,,i,n,3,
泰,tʰ,,a,i,5,
泳,,,y,n,6,
瀉,ɕ,i,a,,5,
潑,pʰ,,o,t,7,
澤,tsʰ,,ɛ,ʔ,7,
潔,tɕ,i,ɛ,t,7,
洋,,i,o,ŋ,2,
洒,s,,a,i,3,
洗,ɕ,,i,,3,
洛,l,,o,ʔ,7,
洞,tʰ,,u,ŋ,6,
津,tɕ,,y,n,1,
洪,f,,u,ŋ,2,
洲,t,i,u,,1,
活,,u,o,t,8,白
活,f,,o,t,8,
洼,,u,a,,1,
洽,h,,a,p,8,
派,pʰ,,a,i,5,
流,t,i,u,,2,
淺,tɕʰ,i,ɛ,n,3,
漿,tɕ,i,o,ŋ,1,
澆,tɕ,i,a,u,1,
濁,tsʰ,,o,ʔ,8,
測,tsʰ,,ɛ,ʔ,7,
濟,tɕ,,i,,5,
渾,f,,ə,n,6,
滸,f,,u,,3,
濃,n,i,u,ŋ,2,
浙,t,,ɛ,t,7,
浜,p,,i,n,1,
浦,pʰ,,u,,3,
浩,h,,a,u,6,
浪,l,,o,ŋ,6,
浮,f,,ɛ,u,2,
浴,,i,u,ʔ,7,
海,h,,o,i,3,
浸,tɕ,,i,m,5,白
浸,tɕʰ,,i,m,1,
涂,tʰ,,u,,2,
消,ɕ,i,a,u,1,
涉,s,,ɛ,p,8,
涌,,i,u,ŋ,5,
涎,,i,ɛ,n,2,
涓,tɕ,y,o,n,1,
涕,tʰ,,i,,5,
潤,l,u,ə,n,6,
漲,t,,o,ŋ,5,
澀,s,,ɛ,p,7,
涯,ŋ,,a,i,2,
淆,h,,a,u,2,
淋,t,,i,m,2,
淑,s,,u,ʔ,7,
淡,tʰ,,a,m,6,
淤,,,i,,1,
淫,,,i,m,2,
淮,f,,a,i,2,
深,ɕ,,i,m,1,
