字,聲母,介音,韻腹,韻尾,聲調,注
倡,tʰ,,o,ŋ,1,
倡,tʰ,,o,ŋ,5,
倦,tɕʰ,y,o,n,6,
倪,n,,i,,2,
倭,,u,o,,1,
債,ts,,a,i,5,
傾,tɕʰ,i,u,ŋ,1,
假,k,,a,,3,
偏,pʰ,i,ɛ,n,1,
做,ts,,ɿ,,5,
停,tʰ,,i,n,2,
偶,ŋ,,ɛ,u,3,
偷,h,,ɛ,u,1,白
偷,tʰ,,ɛ,u,1,
償,s,,o,ŋ,2,
傀,kʰ,u,i,,3,
傅,f,,u,,5,
傍,pʰ,,o,ŋ,6,
儲,s,,u,,2,
催,tsʰ,u,o,i,1,
催,tsʰ,u,i,,1,
傲,ŋ,,a,u,6,
傻,s,,a,,3,
像,ɕ,i,o,ŋ,6,
僧,s,,ɛ,n,1,
僭,tɕ,i,ɛ,m,5,
僵,tɕ,i,o,ŋ,1,
僻,pʰ,,i,ʔ,7,
儁,tɕ,,y,n,5,
儒,,,ɛ,,2,
儡,l,u,i,,3,
兒,,,ɛ,,2,
允,,i,u,n,3,
元,n,y,o,n,2,
兄,ɕ,i,a,ŋ,1,白
兄,ɕ,i,u,ŋ,1,
充,tʰ,,u,ŋ,1,
兆,tʰ,,a,u,6,
兆,tʰ,,ɛ,u,6,
先,ɕ,i,ɛ,n,1,
光,k,u,o,ŋ,1,
克,kʰ,,ɛ,ʔ,7,
免,m,i,ɛ,n,3,
兌,tʰ,u,o,i,6,
兌,tʰ,u,i,,6,
兔,tʰ,,u,,5,
兖,,i,ɛ,n,3,
黨,t,,o,ŋ,3,
兜,t,,ɛ,u,1,
兢,tɕ,,i,n,1,
入,l,,i,p,7,
全,tɕʰ,y,o,n,2,
八,p,,a,t,7,
公,k,,u,ŋ,1,
六,t,i,u,ʔ,8,
兮,ɕ,,i,,2,
蘭,l,,a,n,2,
共,tɕʰ,i,u,ŋ,6,
關,k,u,a,n,1,
興,ɕ,,i,n,1,
興,ɕ,,i,n,5,
兵,p,,ə,n,1,白
兵,p,,i,n,1,
其,tɕʰ,,i,,2,
具,tɕʰ,,i,,6,
典,t,i,ɛ,n,3,
兹,ts,,ɿ,,1,
養,,i,o,ŋ,3,
兼,tɕ,i,ɛ,m,1,
獸,ɕ,i,u,,5,
冀,tɕ,,i,,5,
內,l,u,o,i,6,
內,l,u,i,,6,
冉,l,,ɛ,m,3,
再,ts,,a,i,5,
冒,m,,a,u,6,
冗,l,,u,ŋ,3,
寫,ɕ,i,a,,3,
軍,tɕ,,y,n,1,
農,l,,u,ŋ,2,
冠,k,u,o,n,1,
冢,t,,u,ŋ,3,
冤,,y,o,n,1,
冥,m,,i,n,2,
冬,t,,u,ŋ,1,
馮,f,,u,ŋ,2,
冰,p,,ɛ,n,1,白
冰,p,,i,n,1,
冲,tʰ,,u,ŋ,1,
決,tɕ,y,o,t,7,
況,kʰ,u,o,ŋ,5,
冶,,i,a,,3,
冷,l,,a,ŋ,3,白
冷,l,,ɛ,n,3,
凍,t,,u,ŋ,5,
淨,tɕʰ,i,a,ŋ,6,白
淨,tɕʰ,,i,n,6,
凄,tɕʰ,,i,,1,
準,t,u,ə,n,3,
涼,t,i,o,ŋ,2,
凌,t,,i,n,2,
減,k,,a,m,3,
湊,tsʰ,,ɛ,u,5,
凛,t,,i,m,3,
凝,n,,i,n,2,
几,tɕ,,i,,1,
几,tɕ,,i,,3,
凡,f,,a,n,2,
鳳,f,,u,ŋ,6,
凭,pʰ,,i,n,2,
凱,kʰ,,o,i,3,
凳,t,,ɛ,n,5,
凶,ɕ,i,u,ŋ,1,
出,tʰ,,u,t,7,
擊,tɕ,,i,ʔ,7,
函,h,,o,m,2,
鑿,tsʰ,,o,ʔ,8,
刀,t,,a,u,1,
刁,t,i,a,u,1,
刃,l,,i,n,6,
分,f,,ə,n,1,
切,tɕʰ,i,ɛ,t,7,
刈,n,,i,,6,
芻,tsʰ,,u,,1,
刎,,u,ə,n,3,
刑,ɕ,,i,n,2,
列,t,i,ɛ,t,7,
劉,t,i,u,,2,
則,ts,,ɛ,ʔ,7,
剛,k,,o,ŋ,1,
創,tsʰ,,o,ŋ,5,
初,tsʰ,,u,,1,
删,s,,a,n,1,
判,pʰ,,o,n,5,
利,t,,i,,6,
别,pʰ,i,ɛ,t,8,
刮,k,u,a,t,7,
到,t,,a,u,5,
制,t,,i,,5,
刷,s,u,o,t,7,
券,tɕ,y,o,n,5,
刹,s,,a,t,7,
刺,tsʰ,,ɿ,,5,
刻,kʰ,,ɛ,ʔ,7,
劊,k,u,i,,5,
剃,tʰ,,i,,5,
削,ɕ,i,o,ʔ,7,
前,tɕʰ,i,ɛ,n,2,
剮,k,u,a,,3,
劍,tɕ,i,ɛ,m,5,
剔,tʰ,,i,ʔ,7,
剖,pʰ,,ɛ,u,3,
剝,p,,o,ʔ,7,
劇,tɕ,,i,ʔ,8,
剩,,,i,n,6,白
剩,ɕ,,i,n,6,
剪,tɕ,i,ɛ,n,3,
副,f,,u,,5,
割,k,,o,t,7,
剳,t,,a,p,7,
剿,tɕ,i,a,u,3,
劈,pʰ,i,a,ʔ,7,白
